first_name, middle_name, last_name,  date_of_birth, gender, registration_date,photo, kifle_ketema, kebele, house_number,phone,comment,is_active
Kidus, Kagnew, Eshetu, 1993-02-03, M, 2005-10-24, null, Bole, 1, kebele 12, 0911-354-520, Optional,true
Betel, Hailu, Tegegne, 1995-10-02, F, 2018-12-06, null, Bole, 2, kebele 12, 0912-282-1592, Club affilated,true
Abebe, Goje, Kelelegn, 1992-03-10, M, 2022-11-06, null, Piazza, 3, kebele 13, 0963-546-9306, Normal,true
Mattie, Debebe, Amicho, 1993-02-03, M, 2005-10-24, null, Shegole, 1, kebele 14, 0978-354-5277, Optional,true
Sara, Kebede, Naod, 1995-10-02, F, 2018-12-06, null, Kirkos, 2, kebele 10, 0911-282-1592, Club affilated,true
Teshome, Abiy, Woldu, 1992-03-10, M, 2022-11-06, null, Arat Killo, 3, kebele 11, 0936-546-9306, Normal,true
Mefkere, Seab, Adam, 1993-02-03, M, 2005-10-24, null, France, 1, kebele 10, 0949-354-5277, Optional,true
Woini, Hagos, Birhan, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 1, 0991-282-1592, Club affilated,true
Martha, Bulo, Ahmed, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 2, 0191-282-1592, Club affilated,true
Solomon, Fentaw, Muluneh, 1992-03-10, M, 2022-11-06, null, Mexico, 3, kebele 1, 0974-546-9306, Normal,true
Bank, Kagnew, Eshetu, 1993-02-03, M, 2005-10-24, null, Bole, 1, kebele 12, 0911-354-5277, Optional,true
Tab, Hailu, Tegegne, 1995-10-02, F, 2018-12-06, null, Bole, 2, kebele 12, 0912-282-1592, Club affilated,true
Yichalal, Goje, Kelelegn, 1992-03-10, M, 2022-11-06, null, Piazza, 3, kebele 13, 0963-546-9306, Normal,true
Fetene, Debebe, Amicho, 1993-02-03, M, 2005-10-24, null, Shegole, 1, kebele 14, 0978-354-5277, Optional,true
Simret, Kebede, Naod, 1995-10-02, F, 2018-12-06, null, Kirkos, 2, kebele 10, 0911-282-1592, Club affilated,true
Teshome, Abiy, Woldu, 1992-03-10, M, 2022-11-06, null, Arat Killo, 3, kebele 11, 0936-546-9306, Normal,true
Wondimu, Seab, Adam, 1993-02-03, M, 2005-10-24, null, France, 1, kebele 10, 0949-354-5277, Optional,true
Hakim, Hagos, Birhan, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 1, 0991-282-1592, Club affilated,true
Hana, Bulo, Ahmed, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 2, 0191-282-1592, Club affilated,true
Aklilu , Fentaw, Muluneh, 1992-03-10, M, 2022-11-06, null, Mexico, 3, kebele 1, 0974-546-9306, Normal,true
Amen, Kagnew, Eshetu, 1993-02-03, M, 2005-10-24, null, Bole, 1, kebele 12, 0911-354-5277, Optional,true
Tru, Hailu, Tegegne, 1995-10-02, F, 2018-12-06, null, Bole, 2, kebele 12, 0912-282-1592, Club affilated,true
Bruk, Goje, Kelelegn, 1992-03-10, M, 2022-11-06, null, Piazza, 3, kebele 13, 0963-546-9306, Normal,true
Tekle, Debebe, Amicho, 1993-02-03, M, 2005-10-24, null, Shegole, 1, kebele 14, 0978-354-5277, Optional,true
Shemsit, Kebede, Naod, 1995-10-02, F, 2018-12-06, null, Kirkos, 2, kebele 10, 0911-282-1592, Club affilated,true
Lakew, Abiy, Woldu, 1992-03-10, M, 2022-11-06, null, Arat Killo, 3, kebele 11, 0936-546-9306, Normal,true
