student_id, first_name, middle_name, last_name,  date_of_birth, gender, registration_date,photo, kifle_ketema, kebele, house_number, phone          ,  comment,is_active
1001, Kidus, Kagnew, Eshetu, 1993-02-03, M, 2005-10-24, null, Bole, 1, kebele 12, 0911-354-520, Optional,true
1002, Betel, Hailu, Tegegne, 1995-10-02, F, 2018-12-06, null, Bole, 2, kebele 12, 0912-282-1592, Club affilated,true
1003, Abebe, Goje, Kelelegn, 1992-03-10, M, 2022-11-06, null, Piazza, 3, kebele 13, 0963-546-9306, Normal,true
1004, Mattie, Debebe, Amicho, 1993-02-03, M, 2005-10-24, null, Shegole, 1, kebele 14, 0978-354-5277, Optional,true
1005, Sara, Kebede, Naod, 1995-10-02, F, 2018-12-06, null, Kirkos, 2, kebele 10, 0911-282-1592, Club affilated,true
1006, Teshome, Abiy, Woldu, 1992-03-10, M, 2022-11-06, null, Arat Killo, 3, kebele 11, 0936-546-9306, Normal,true
1007, Mefkere, Seab, Adam, 1993-02-03, M, 2005-10-24, null, France, 1, kebele 10, 0949-354-5277, Optional,true
1008, Woini, Hagos, Birhan, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 1, 0991-282-1592, Club affilated,true
1009, Martha, Bulo, Ahmed, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 2, 0191-282-1592, Club affilated,true
1010, Solomon, Fentaw, Muluneh, 1992-03-10, M, 2022-11-06, null, Mexico, 3, kebele 1, 0974-546-9306, Normal,true
1011, Bank, Kagnew, Eshetu, 1993-02-03, M, 2005-10-24, null, Bole, 1, kebele 12, 0911-354-5277, Optional,true
1012, Tab, Hailu, Tegegne, 1995-10-02, F, 2018-12-06, null, Bole, 2, kebele 12, 0912-282-1592, Club affilated,true
1013, Yichalal, Goje, Kelelegn, 1992-03-10, M, 2022-11-06, null, Piazza, 3, kebele 13, 0963-546-9306, Normal,true
1014, Fetene, Debebe, Amicho, 1993-02-03, M, 2005-10-24, null, Shegole, 1, kebele 14, 0978-354-5277, Optional,true
1015, Simret, Kebede, Naod, 1995-10-02, F, 2018-12-06, null, Kirkos, 2, kebele 10, 0911-282-1592, Club affilated,true
1016, Teshome, Abiy, Woldu, 1992-03-10, M, 2022-11-06, null, Arat Killo, 3, kebele 11, 0936-546-9306, Normal,true
1017, Wondimu, Seab, Adam, 1993-02-03, M, 2005-10-24, null, France, 1, kebele 10, 0949-354-5277, Optional,true
1018, Hakim, Hagos, Birhan, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 1, 0991-282-1592, Club affilated,true
1019, Hana, Bulo, Ahmed, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 2, 0191-282-1592, Club affilated,true
1020, Aklilu , Fentaw, Muluneh, 1992-03-10, M, 2022-11-06, null, Mexico, 3, kebele 1, 0974-546-9306, Normal,true
1021, Amen, Kagnew, Eshetu, 1993-02-03, M, 2005-10-24, null, Bole, 1, kebele 12, 0911-354-5277, Optional,true
1022, Tru, Hailu, Tegegne, 1995-10-02, F, 2018-12-06, null, Bole, 2, kebele 12, 0912-282-1592, Club affilated,true
1023, Bruk, Goje, Kelelegn, 1992-03-10, M, 2022-11-06, null, Piazza, 3, kebele 13, 0963-546-9306, Normal,true
1024, Tekle, Debebe, Amicho, 1993-02-03, M, 2005-10-24, null, Shegole, 1, kebele 14, 0978-354-5277, Optional,true
1025, Shemsit, Kebede, Naod, 1995-10-02, F, 2018-12-06, null, Kirkos, 2, kebele 10, 0911-282-1592, Club affilated,true
1026, Lakew, Abiy, Woldu, 1992-03-10, M, 2022-11-06, null, Arat Killo, 3, kebele 11, 0936-546-9306, Normal,true
1027, Senay, Seab, Adam, 1993-02-03, M, 2005-10-24, null, France, 1, kebele 10, 0949-354-5277, Optional,true
1028, Nahu, Hagos, Birhan, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 1, 0991-282-1592, Club affilated,true
1029, Omar, Bulo, Ahmed, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 2, 0191-282-1592, Club affilated,true
1030, Mike, Fentaw, Muluneh, 1992-03-10, M, 2022-11-06, null, Mexico, 3, kebele 1, 0974-546-9306, Normal,true
1031, Young, Kagnew, Eshetu, 1993-02-03, M, 2005-10-24, null, Bole, 1, kebele 12, 0911-354-5277, Optional,true
1032, Sewyew, Hailu, Tegegne, 1995-10-02, F, 2018-12-06, null, Bole, 2, kebele 12, 0912-282-1592, Club affilated,true
1033, Jemal, Goje, Kelelegn, 1992-03-10, M, 2022-11-06, null, Piazza, 3, kebele 13, 0963-546-9306, Normal,true
1034, Tiktok, Debebe, Amicho, 1993-02-03, M, 2005-10-24, null, Shegole, 1, kebele 14, 0978-354-5277, Optional,true
1035, Mengestu, Kebede, Naod, 1995-10-02, F, 2018-12-06, null, Kirkos, 2, kebele 10, 0911-282-1592, Club affilated,true
1036, Chemrew, Abiy, Woldu, 1992-03-10, M, 2022-11-06, null, Arat Killo, 3, kebele 11, 0936-546-9306, Normal,true
1037, Demere, Seab, Adam, 1993-02-03, M, 2005-10-24, null, France, 1, kebele 10, 0949-354-5277, Optional,true
1038, Aynu, Hagos, Birhan, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 1, 0991-282-1592, Club affilated,true
1039, Minit, Bulo, Ahmed, 1995-10-02, F, 2018-12-06, null, Yeka, 2, kebele 2, 0191-282-1592, Club affilated,true
